#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AFP	TG	9606.ENSP00000379138	9606.ENSP00000220616	0	0	0	0	0.067	0	0	0.433	0.448
AFP	CRP	9606.ENSP00000379138	9606.ENSP00000255030	0	0	0	0	0.069	0	0	0.666	0.676
AFP	ORM1	9606.ENSP00000379138	9606.ENSP00000259396	0	0	0	0	0.235	0.072	0	0.663	0.740
AFP	HPX	9606.ENSP00000379138	9606.ENSP00000265983	0	0	0	0	0.227	0.096	0	0.355	0.510
AFP	ALB	9606.ENSP00000379138	9606.ENSP00000295897	0	0	0.079	0.912	0.521	0	0	0.848	0.927
AFP	CYCS	9606.ENSP00000379138	9606.ENSP00000307786	0	0	0	0	0.067	0	0	0.553	0.565
AFP	SERPINA7	9606.ENSP00000379138	9606.ENSP00000329374	0	0	0	0	0.426	0.065	0	0.503	0.710
AFP	CYP1A2	9606.ENSP00000379138	9606.ENSP00000342007	0	0	0	0	0.097	0	0	0.406	0.440
AFP	GPT2	9606.ENSP00000379138	9606.ENSP00000345282	0	0	0	0	0.083	0	0	0.748	0.759
AFP	HP	9606.ENSP00000379138	9606.ENSP00000348170	0	0	0	0	0.170	0.072	0	0.524	0.602
AFP	MB	9606.ENSP00000379138	9606.ENSP00000352835	0	0	0	0	0	0	0	0.452	0.452
AFP	RBP4	9606.ENSP00000379138	9606.ENSP00000360522	0	0	0	0	0.217	0.096	0	0.341	0.493
AFP	GPT	9606.ENSP00000379138	9606.ENSP00000378408	0	0	0	0	0	0	0	0.894	0.894
AFP	LRP2	9606.ENSP00000379138	9606.ENSP00000496870	0	0	0	0	0.056	0	0	0.409	0.418
AFP	CYP3A4	9606.ENSP00000379138	9606.ENSP00000498939	0	0	0	0	0.067	0	0	0.512	0.525
AFP	GC	9606.ENSP00000379138	9606.ENSP00000421725	0	0	0.140	0.590	0.269	0	0	0.587	0.717
AFP	INS	9606.ENSP00000379138	9606.ENSP00000380432	0	0	0	0	0.048	0	0	0.744	0.746
AFP	ORM2	9606.ENSP00000379138	9606.ENSP00000394936	0	0	0	0	0.292	0.072	0	0.666	0.762
ALB	HMOX1	9606.ENSP00000295897	9606.ENSP00000216117	0	0	0	0	0	0	0	0.683	0.683
ALB	TG	9606.ENSP00000295897	9606.ENSP00000220616	0	0	0	0	0.068	0	0	0.909	0.912
ALB	HBA2	9606.ENSP00000295897	9606.ENSP00000251595	0	0	0	0	0	0.292	0	0.550	0.668
ALB	EPO	9606.ENSP00000295897	9606.ENSP00000252723	0	0	0	0	0.130	0	0	0.762	0.784
ALB	CRP	9606.ENSP00000295897	9606.ENSP00000255030	0	0	0	0	0.164	0	0	0.918	0.928
ALB	ORM1	9606.ENSP00000295897	9606.ENSP00000259396	0	0	0	0	0.380	0.087	0	0.997	0.998
ALB	HPX	9606.ENSP00000295897	9606.ENSP00000265983	0	0	0	0	0.390	0.099	0.500	0.941	0.981
ALB	FTH1	9606.ENSP00000295897	9606.ENSP00000273550	0	0	0	0	0	0	0	0.720	0.720
ALB	CA3	9606.ENSP00000295897	9606.ENSP00000285381	0	0	0	0	0.043	0	0	0.590	0.590
ALB	CYGB	9606.ENSP00000295897	9606.ENSP00000293230	0	0	0	0	0	0	0	0.666	0.666
ALB	MT-CYB	9606.ENSP00000295897	9606.ENSP00000354554	0	0	0	0	0	0	0	0.422	0.422
ALB	TPO	9606.ENSP00000295897	9606.ENSP00000329869	0	0	0	0	0.074	0	0	0.506	0.523
ALB	HBA1	9606.ENSP00000295897	9606.ENSP00000322421	0	0	0	0	0.074	0	0	0.515	0.531
